group	ret	mz	EC_022024	adduct	neutralMass
M356_R600_909	599.733	356.209645084013	780	[M-H]-	356.209645084013
M356_R779_910	779.486	356.268438121157	18745.5	[M-H]-	356.268438121157
M356_R871_911	870.648	356.289124530584	1764	[M-H]-	356.289124530584
M356_R231_912	230.5895	356.191250766762	808	[M-H]-	356.191250766762
M356_R471_913	470.671	356.289339948957	171	[M-H]-	356.289339948957
M357_R382_915	382.063	357.016767946295	564	[M-H]-	357.016767946295
M357_R613_917	612.675	357.218411103958	298	[M-H]-	357.218411103958
M357_R783_918	783.182	357.276887870082	5273	[M-H]-	357.276887870082
M357_R219_919	218.5745	357.181322555946	465	[M-H]-	357.181322555946
M357_R888_920	888.2855	357.25881831631	3626	[M-H]-	357.25881831631
M357_R689_921	689.458	357.28477196925	7130	[M-H]-	357.28477196925
M358_R266_923	265.874	357.985008028493	3393	[M-H]-	357.985008028493
M358_R382_924	382.063	358.014214839738	329.5	[M-H]-	358.014214839738
M358_R135_925	135.272	357.913844003195	178	[M-H]-	357.913844003195
M358_R596_926	595.6465	358.211530194484	2475.5	[M-H]-	358.211530194484
M358_R779_927	779.486	358.272994397327	1075	[M-H]-	358.272994397327
M358_R233_928	232.839	358.214811828369	746	[M-H]-	358.214811828369
M358_R386_929	386.306	358.212400998071	4997.5	[M-H]-	358.212400998071
M358_R819_930	819.342	358.296665851639	67936	[M-H]-	358.296665851639
M358_R688_931	688.154	358.288202882055	2081	[M-H]-	358.288202882055
M359_R266_932	265.874	358.987624047094	298	[M-H]-	358.987624047094
M359_R600_933	599.733	359.210181647609	1267	[M-H]-	359.210181647609
M359_R386_934	386.306	359.215661013185	1015	[M-H]-	359.215661013185
M359_R204_935	204.311	359.197647582331	704.5	[M-H]-	359.197647582331
M359_R821_936	821.36	359.294038760913	19371	[M-H]-	359.294038760913
