mz,ret,int,mod,kmd,HS_num
854.585219917105,889.2085,543,4.63951043710495,0.360193212867784,337
904.58848061247,885.4845,1663,4.64596469246999,0.353738545235387,341
804.596889341881,796.116,609,4.64798630188102,0.351716806693503,341
1004.5897766677,719.417,584,4.65364786769999,0.346054879240342,343
1004.60055077604,801.0425,838.5,4.66442197603999,0.335280082701161,344
304.661446318833,641.973,600,4.68060767883298,0.319093346041939,345
1054.62414560017,403.288,1513.5,4.69121036017009,0.308489987455459,346
1054.62495315146,786.8785,626.5,4.69201791145997,0.307682384583131,346
1004.63462301148,889.209,1030,4.69849421148001,0.301205670887612,348
1104.63377267626,764.715,2797,4.70403099625992,0.295668532444097,349
1054.6373115972,633.793,588,4.70437635720009,0.295323149443675,349
1004.67200360352,864.481,6732,4.73587480352001,0.263822691151859,351
1154.67706636227,795.503,1412,4.75051824226989,0.24917831704829,352
1204.70437356814,679.037,4223.5,4.78101900813999,0.218675602933217,353
1104.71349473489,836.122,3247,4.78375305488998,0.215941381545235,353
454.778798940272,891.694,602,4.80754098027199,0.192151936702771,355
404.951988909391,294.84,604,4.97753738939099,0.0221446690155744,356
355.019579639613,382.063,1195,5.04193455961303,-0.0422566145936685,357
205.092229494342,136.773,785.5,5.10500373434201,-0.105329817883842,358
455.202862040159,387.72,711,5.231604080159,-0.231938250333371,359
455.206411342532,203.5585,789,5.23515338253202,-0.235487779419088,359
255.226267742313,635.156,126485,5.24223554231301,-0.242570391575015,361
305.241685909505,672.524,418484,5.26084726950501,-0.261183307596241,362
405.252405301259,788.111,3468,5.27795378125899,-0.278290912033469,363
505.275815424916,294.096,764,5.307751024916,-0.308090058997777,364
505.276885338623,677.733,87522,5.308820938623,-0.309160041045857,364
405.284715586183,658.201,3078.5,5.31026406618298,-0.310603260786024,364
655.274934354773,198.302,691,5.31645063477299,-0.316790224544775,367
455.294156095374,246.36,909,5.32289813537398,-0.323238136981672,368
355.305803929192,784.414,16404.5,5.32815884919199,-0.32849918682922,369
555.293341578478,390.551,619,5.32847073847802,-0.328811096037271,369
405.312597244683,880.527,1247.5,5.33814572468299,-0.338486700234682,371
505.307038256812,839.2175,686,5.338973856812,-0.339314885260933,371
605.305922804968,267.375,563.5,5.34424552496796,-0.344586890146161,373
555.319699584125,543.256,4045,5.35482874412503,-0.355170785309269,374
455.34025476197,860.8205,1654,5.36899680197001,-0.36933974814292,375
655.328874489251,513.324,3403,5.370390769251,-0.370733804463953,375
505.347790353235,625.6205,744,5.37972595323498,-0.380069584735395,377
655.364848376369,793.04,4690.5,5.40636465636896,-0.406709989423916,378
655.373467688599,643.336,810,5.41498396859902,-0.415329852215109,379
605.3786391845,833.68,7488.5,5.4169619045,-0.417307914457297,379
705.374099338883,636.518,1352.5,5.41880917888295,-0.419155306835364,379
755.382548301657,639.245,1190.5,5.43045170165703,-0.430798573278935,382
705.386781468947,195.299,652.5,5.43149130894699,-0.431838246974053,382
805.404693686157,714.208,853,5.45579064615697,-0.456139136310981,384
705.413984957361,712.906,2748,5.45869479736098,-0.459043473018369,384
705.41694462211,599.733,1993.5,5.46165446211,-0.462003326816898,386
755.417705739546,844.7525,1600,5.46560913954602,-0.465958256859039,386
655.447036575648,868.2015,1642,5.48855285564798,-0.488903438497232,388
705.454505872615,859.5515,2698,5.49921571261496,-0.499566976557276,389
905.487179429333,845.987,1075,5.54466350933296,0.454982323734157,390
805.512593841962,881.1745,3082.5,5.56369080196203,0.435953815731295,391
655.541681314592,763.485,6208,5.58319759459198,0.416445777099511,392
755.537256779324,914.542,9325,5.58516017932402,0.414483067006813,392
805.549110570978,622.893,1165,5.60020753097797,0.399434754199092,394
855.546444326546,889.209,8083,5.60073484654595,0.398907404948773,394
805.553473572973,923.7945,7348,5.60457053297296,0.395071473516055,394
905.562206760044,880.527,4021,5.61969084004397,0.379950200631356,397
1005.56742485688,718.116,693,5.63129605688005,0.36834424250867,398
1055.56614415958,322.633,980,5.63320891958006,0.366431257624072,398
955.574674323766,794.8815,845,5.63535196376597,0.364288076550679,398
1005.58692451136,868.2145,580.5,5.65079571136005,0.348843342482837,401
805.603608983848,805.351,15506,5.65470594384794,0.3449328602278,401
955.601819972566,889.209,2081.5,5.66249761256597,0.337140693814717,403
1105.59304762551,719.417,737,5.66330594551005,0.33633230923806,403
855.627385652624,828.741,2107.5,5.68167617262395,0.31796090872092,405
1055.63017665856,403.288,785,5.69724141856,0.302394668550505,406
905.645220086236,797.964,3481,5.702704166236,0.296931571939695,407
1205.7102461631,679.037,2655,5.7868916031,0.2127387575797,408
156.008242997704,322.633,3200.5,6.017823677704,-0.0182080678751504,409
356.016219658212,382.063,2325.5,6.03857457821198,-0.0389602938527105,410
206.103714593532,204.3075,1911,6.116488833532,-0.116879525967562,411
156.114096376554,216.321,2254.5,6.12367705655399,-0.124068208139335,412
456.132668063048,769.523,1483,6.16141010304801,-0.161803664842296,413
406.171355489907,833.345,5970.5,6.196903969907,-0.197299798881886,414
